[["id24"],"Genes","id24","NZ_AMPO01000004.1",0,220515]
[["A994_05336","gene1071"],"Genes","A994_05336","NZ_AMPO01000004.1",0,377]
[["A994_05341","gene1072"],"Genes","A994_05341","NZ_AMPO01000004.1",599,1661]
[["A994_05346","gene1073"],"Genes","A994_05346","NZ_AMPO01000004.1",1660,3373]
[["A994_05351","gene1074"],"Genes","A994_05351","NZ_AMPO01000004.1",3855,4815]
[["A994_05356","gene1075"],"Genes","A994_05356","NZ_AMPO01000004.1",5021,9041]
[["A994_05361","gene1076"],"Genes","A994_05361","NZ_AMPO01000004.1",9143,9551]
[["A994_05366","gene1077"],"Genes","A994_05366","NZ_AMPO01000004.1",9547,9829]
[["A994_05371","gene1078"],"Genes","A994_05371","NZ_AMPO01000004.1",9887,10880]
[["A994_05376","gene1079"],"Genes","A994_05376","NZ_AMPO01000004.1",11075,12407]
[["A994_05381","gene1080"],"Genes","A994_05381","NZ_AMPO01000004.1",12649,15103]
[["A994_05386","gene1081"],"Genes","A994_05386","NZ_AMPO01000004.1",15498,15834]
[["A994_05391","gene1082"],"Genes","A994_05391","NZ_AMPO01000004.1",15847,16513]
[["A994_05396","gene1083"],"Genes","A994_05396","NZ_AMPO01000004.1",16668,17286]
[["A994_05401","gene1084"],"Genes","A994_05401","NZ_AMPO01000004.1",17640,18462]
[["A994_05406","gene1085"],"Genes","A994_05406","NZ_AMPO01000004.1",19056,19887]
[["A994_05411","gene1086"],"Genes","A994_05411","NZ_AMPO01000004.1",20101,20869]
[["A994_05416","gene1087"],"Genes","A994_05416","NZ_AMPO01000004.1",21009,21903]
[["A994_05421","gene1088"],"Genes","A994_05421","NZ_AMPO01000004.1",22126,22306]
[["A994_05426","gene1089"],"Genes","A994_05426","NZ_AMPO01000004.1",22405,22603]
[["A994_05431","gene1090"],"Genes","A994_05431","NZ_AMPO01000004.1",22613,23510]
[["A994_05436","gene1091"],"Genes","A994_05436","NZ_AMPO01000004.1",23613,23910]
[["A994_05441","gene1092"],"Genes","A994_05441","NZ_AMPO01000004.1",24149,25172]
[["A994_05446","gene1093"],"Genes","A994_05446","NZ_AMPO01000004.1",25485,26832]
[["gltX","gene1094"],"Genes","gltX","NZ_AMPO01000004.1",27272,28949]
[["A994_05456","gene1095"],"Genes","A994_05456","NZ_AMPO01000004.1",29100,30102]
[["A994_05461","gene1096"],"Genes","A994_05461","NZ_AMPO01000004.1",30101,31451]
[["A994_05466","gene1097"],"Genes","A994_05466","NZ_AMPO01000004.1",31447,32503]
[["A994_05471","gene1098"],"Genes","A994_05471","NZ_AMPO01000004.1",32909,33707]
[["A994_05476","gene1099"],"Genes","A994_05476","NZ_AMPO01000004.1",33783,34776]
[["A994_05481","gene1100"],"Genes","A994_05481","NZ_AMPO01000004.1",35124,35967]
[["rps2P","gene1101"],"Genes","rps2P","NZ_AMPO01000004.1",36625,37222]
[["A994_05491","gene1102"],"Genes","A994_05491","NZ_AMPO01000004.1",37374,37566]
[["A994_05496","gene1103"],"Genes","A994_05496","NZ_AMPO01000004.1",38036,39287]
[["A994_05501","gene1104"],"Genes","A994_05501","NZ_AMPO01000004.1",39509,39806]
[["A994_05506","gene1105"],"Genes","A994_05506","NZ_AMPO01000004.1",40094,40262]
[["A994_05511","gene1106"],"Genes","A994_05511","NZ_AMPO01000004.1",40331,40733]
[["A994_05516","gene1107"],"Genes","A994_05516","NZ_AMPO01000004.1",40750,41173]
[["A994_05521","gene1108"],"Genes","A994_05521","NZ_AMPO01000004.1",41186,41537]
[["A994_05526","gene1109"],"Genes","A994_05526","NZ_AMPO01000004.1",41539,42340]
[["rps11p","gene1110"],"Genes","rps11p","NZ_AMPO01000004.1",42357,42756]
[["rps4p","gene1111"],"Genes","rps4p","NZ_AMPO01000004.1",42765,43347]
[["rps13p","gene1112"],"Genes","rps13p","NZ_AMPO01000004.1",43365,43818]
[["A994_t06398","gene1113"],"Genes","A994_t06398","NZ_AMPO01000004.1",44032,44117]
[["A994_05546","gene1114"],"Genes","A994_05546","NZ_AMPO01000004.1",44449,45412]
[["A994_05551","gene1115"],"Genes","A994_05551","NZ_AMPO01000004.1",45452,45683]
[["A994_05556","gene1116"],"Genes","A994_05556","NZ_AMPO01000004.1",45670,46201]
[["rpl34e","gene1117"],"Genes","rpl34e","NZ_AMPO01000004.1",46208,46517]
[["A994_05566","gene1118"],"Genes","A994_05566","NZ_AMPO01000004.1",46641,47211]
[["A994_05571","gene1119"],"Genes","A994_05571","NZ_AMPO01000004.1",47421,47979]
[["A994_05576","gene1120"],"Genes","A994_05576","NZ_AMPO01000004.1",47979,49326]
[["rpl15p","gene1121"],"Genes","rpl15p","NZ_AMPO01000004.1",49397,49838]
[["rpl30p","gene1122"],"Genes","rpl30p","NZ_AMPO01000004.1",50002,50455]
[["rps5p","gene1123"],"Genes","rps5p","NZ_AMPO01000004.1",50464,51112]
[["rpl18p","gene1124"],"Genes","rpl18p","NZ_AMPO01000004.1",51111,51693]
[["rpl19e","gene1125"],"Genes","rpl19e","NZ_AMPO01000004.1",51706,52153]
[["rpl32e","gene1126"],"Genes","rpl32e","NZ_AMPO01000004.1",52448,52775]
[["rpl6p","gene1127"],"Genes","rpl6p","NZ_AMPO01000004.1",52780,53314]
[["rps8p","gene1128"],"Genes","rps8p","NZ_AMPO01000004.1",53324,53717]
[["rps14P","gene1129"],"Genes","rps14P","NZ_AMPO01000004.1",53727,53880]
[["rpl5p","gene1130"],"Genes","rpl5p","NZ_AMPO01000004.1",53880,54402]
[["A994_05631","gene1131"],"Genes","A994_05631","NZ_AMPO01000004.1",54403,55129]
[["rpl24p","gene1132"],"Genes","rpl24p","NZ_AMPO01000004.1",55130,55484]
[["rpl14p","gene1133"],"Genes","rpl14p","NZ_AMPO01000004.1",55492,55891]
[["rps17p","gene1134"],"Genes","rps17p","NZ_AMPO01000004.1",55887,56211]
[["A994_05651","gene1135"],"Genes","A994_05651","NZ_AMPO01000004.1",56215,56452]
[["A994_05656","gene1136"],"Genes","A994_05656","NZ_AMPO01000004.1",56729,57035]
[["A994_05661","gene1137"],"Genes","A994_05661","NZ_AMPO01000004.1",57040,57247]
[["rps3p","gene1138"],"Genes","rps3p","NZ_AMPO01000004.1",57297,58578]
[["rpl22p","gene1139"],"Genes","rpl22p","NZ_AMPO01000004.1",58574,59039]
[["rps19p","gene1140"],"Genes","rps19p","NZ_AMPO01000004.1",59051,59462]
[["rpl2p","gene1141"],"Genes","rpl2p","NZ_AMPO01000004.1",59559,60285]
[["A994_05686","gene1142"],"Genes","A994_05686","NZ_AMPO01000004.1",60298,60559]
[["rpl4lp","gene1143"],"Genes","rpl4lp","NZ_AMPO01000004.1",60572,61358]
[["rpl3p","gene1144"],"Genes","rpl3p","NZ_AMPO01000004.1",61381,62392]
[["A994_05701","gene1145"],"Genes","A994_05701","NZ_AMPO01000004.1",62650,63472]
[["A994_05706","gene1146"],"Genes","A994_05706","NZ_AMPO01000004.1",63674,64298]
[["A994_05711","gene1147"],"Genes","A994_05711","NZ_AMPO01000004.1",64628,66116]
[["A994_05716","gene1148"],"Genes","A994_05716","NZ_AMPO01000004.1",66196,67177]
[["A994_05721","gene1149"],"Genes","A994_05721","NZ_AMPO01000004.1",67366,68731]
[["A994_05726","gene1150"],"Genes","A994_05726","NZ_AMPO01000004.1",68990,70112]
[["A994_05731","gene1151"],"Genes","A994_05731","NZ_AMPO01000004.1",70389,71550]
[["A994_05736","gene1152"],"Genes","A994_05736","NZ_AMPO01000004.1",71551,72052]
[["A994_05741","gene1153"],"Genes","A994_05741","NZ_AMPO01000004.1",72769,73102]
[["A994_05746","gene1154"],"Genes","A994_05746","NZ_AMPO01000004.1",73338,73641]
[["A994_05751","gene1155"],"Genes","A994_05751","NZ_AMPO01000004.1",73637,75098]
[["A994_05756","gene1156"],"Genes","A994_05756","NZ_AMPO01000004.1",75288,77898]
[["A994_05761","gene1157"],"Genes","A994_05761","NZ_AMPO01000004.1",78307,79840]
[["A994_05766","gene1158"],"Genes","A994_05766","NZ_AMPO01000004.1",80220,81420]
[["A994_05771","gene1159"],"Genes","A994_05771","NZ_AMPO01000004.1",81437,81644]
[["A994_05776","gene1160"],"Genes","A994_05776","NZ_AMPO01000004.1",81907,86362]
[["A994_05781","gene1161"],"Genes","A994_05781","NZ_AMPO01000004.1",86727,87384]
[["A994_05786","gene1162"],"Genes","A994_05786","NZ_AMPO01000004.1",87400,88222]
[["A994_05791","gene1163"],"Genes","A994_05791","NZ_AMPO01000004.1",88432,89620]
[["A994_05796","gene1164"],"Genes","A994_05796","NZ_AMPO01000004.1",90054,91563]
[["A994_05801","gene1165"],"Genes","A994_05801","NZ_AMPO01000004.1",91820,92027]
[["A994_05806","gene1166"],"Genes","A994_05806","NZ_AMPO01000004.1",92398,93046]
[["A994_05811","gene1167"],"Genes","A994_05811","NZ_AMPO01000004.1",93115,93802]
[["A994_05816","gene1168"],"Genes","A994_05816","NZ_AMPO01000004.1",93855,94587]
[["A994_05821","gene1169"],"Genes","A994_05821","NZ_AMPO01000004.1",94627,96085]
[["A994_05826","gene1170"],"Genes","A994_05826","NZ_AMPO01000004.1",96236,97139]
[["A994_05831","gene1171"],"Genes","A994_05831","NZ_AMPO01000004.1",97479,98613]
[["A994_05836","gene1172"],"Genes","A994_05836","NZ_AMPO01000004.1",98766,99117]
[["A994_05841","gene1173"],"Genes","A994_05841","NZ_AMPO01000004.1",99430,100054]
[["A994_05846","gene1174"],"Genes","A994_05846","NZ_AMPO01000004.1",100289,101489]
[["A994_05851","gene1175"],"Genes","A994_05851","NZ_AMPO01000004.1",101678,103037]
[["A994_05856","gene1176"],"Genes","A994_05856","NZ_AMPO01000004.1",103396,103918]
[["A994_05861","gene1177"],"Genes","A994_05861","NZ_AMPO01000004.1",104036,104585]
[["A994_05866","gene1178"],"Genes","A994_05866","NZ_AMPO01000004.1",104638,105880]
[["A994_05871","gene1179"],"Genes","A994_05871","NZ_AMPO01000004.1",105931,106732]
[["A994_05876","gene1180"],"Genes","A994_05876","NZ_AMPO01000004.1",106793,107246]
[["A994_05881","gene1181"],"Genes","A994_05881","NZ_AMPO01000004.1",107734,107902]
[["A994_05886","gene1182"],"Genes","A994_05886","NZ_AMPO01000004.1",107980,108754]
[["A994_05891","gene1183"],"Genes","A994_05891","NZ_AMPO01000004.1",109298,111440]
[["A994_05896","gene1184"],"Genes","A994_05896","NZ_AMPO01000004.1",111865,114247]
[["A994_05901","gene1185"],"Genes","A994_05901","NZ_AMPO01000004.1",114327,114558]
[["A994_05906","gene1186"],"Genes","A994_05906","NZ_AMPO01000004.1",114723,114915]
[["A994_05911","gene1187"],"Genes","A994_05911","NZ_AMPO01000004.1",115260,115653]
[["A994_05916","gene1188"],"Genes","A994_05916","NZ_AMPO01000004.1",115653,115899]
[["A994_05921","gene1189"],"Genes","A994_05921","NZ_AMPO01000004.1",116242,116743]
[["A994_05926","gene1190"],"Genes","A994_05926","NZ_AMPO01000004.1",116735,117554]
[["A994_05931","gene1191"],"Genes","A994_05931","NZ_AMPO01000004.1",117623,118172]
[["A994_05936","gene1192"],"Genes","A994_05936","NZ_AMPO01000004.1",118265,118826]
[["A994_05941","gene1193"],"Genes","A994_05941","NZ_AMPO01000004.1",119442,121257]
[["A994_05946","gene1194"],"Genes","A994_05946","NZ_AMPO01000004.1",121724,122006]
[["A994_05951","gene1195"],"Genes","A994_05951","NZ_AMPO01000004.1",122064,124200]
[["A994_05956","gene1196"],"Genes","A994_05956","NZ_AMPO01000004.1",124388,124688]
[["A994_05961","gene1197"],"Genes","A994_05961","NZ_AMPO01000004.1",124671,125055]
[["A994_05966","gene1198"],"Genes","A994_05966","NZ_AMPO01000004.1",125066,125711]
[["A994_05971","gene1199"],"Genes","A994_05971","NZ_AMPO01000004.1",125715,126450]
[["A994_05976","gene1200"],"Genes","A994_05976","NZ_AMPO01000004.1",126407,127748]
[["A994_05981","gene1201"],"Genes","A994_05981","NZ_AMPO01000004.1",128122,129283]
[["A994_05986","gene1202"],"Genes","A994_05986","NZ_AMPO01000004.1",129600,129780]
[["A994_05991","gene1203"],"Genes","A994_05991","NZ_AMPO01000004.1",129921,130485]
[["A994_05996","gene1204"],"Genes","A994_05996","NZ_AMPO01000004.1",130688,130868]
[["A994_06001","gene1205"],"Genes","A994_06001","NZ_AMPO01000004.1",131219,131387]
[["A994_06006","gene1206"],"Genes","A994_06006","NZ_AMPO01000004.1",131425,133663]
[["A994_06011","gene1207"],"Genes","A994_06011","NZ_AMPO01000004.1",133760,135971]
[["A994_06016","gene1208"],"Genes","A994_06016","NZ_AMPO01000004.1",136125,137529]
[["A994_06021","gene1209"],"Genes","A994_06021","NZ_AMPO01000004.1",137791,138439]
[["A994_06026","gene1210"],"Genes","A994_06026","NZ_AMPO01000004.1",138698,139619]
[["A994_06031","gene1211"],"Genes","A994_06031","NZ_AMPO01000004.1",139694,140723]
[["A994_06036","gene1212"],"Genes","A994_06036","NZ_AMPO01000004.1",140812,142375]
[["A994_06041","gene1213"],"Genes","A994_06041","NZ_AMPO01000004.1",142561,143992]
[["A994_06046","gene1214"],"Genes","A994_06046","NZ_AMPO01000004.1",144221,145466]
[["A994_06051","gene1215"],"Genes","A994_06051","NZ_AMPO01000004.1",145484,146792]
[["A994_06056","gene1216"],"Genes","A994_06056","NZ_AMPO01000004.1",146873,147812]
[["A994_06061","gene1217"],"Genes","A994_06061","NZ_AMPO01000004.1",147837,149295]
[["A994_06066","gene1218"],"Genes","A994_06066","NZ_AMPO01000004.1",149401,151600]
