[["id33"],"Genes","id33","NZ_AMPO01000008.1",0,143258]
[["A994_r09556","gene1780"],"Genes","A994_r09556","NZ_AMPO01000008.1",230,352]
[["A994_r09558","gene1781"],"Genes","A994_r09558","NZ_AMPO01000008.1",976,1098]
[["A994_08876","gene1782"],"Genes","A994_08876","NZ_AMPO01000008.1",1451,1811]
[["A994_08881","gene1783"],"Genes","A994_08881","NZ_AMPO01000008.1",2251,4285]
[["A994_08886","gene1784"],"Genes","A994_08886","NZ_AMPO01000008.1",4552,7183]
[["A994_08891","gene1785"],"Genes","A994_08891","NZ_AMPO01000008.1",7667,7886]
[["A994_08896","gene1786"],"Genes","A994_08896","NZ_AMPO01000008.1",8213,10916]
[["A994_08901","gene1787"],"Genes","A994_08901","NZ_AMPO01000008.1",10946,12386]
[["A994_08906","gene1788"],"Genes","A994_08906","NZ_AMPO01000008.1",12403,13603]
[["A994_08911","gene1789"],"Genes","A994_08911","NZ_AMPO01000008.1",13596,15084]
[["A994_08916","gene1790"],"Genes","A994_08916","NZ_AMPO01000008.1",15112,16117]
[["A994_08921","gene1791"],"Genes","A994_08921","NZ_AMPO01000008.1",16157,17252]
[["A994_08926","gene1792"],"Genes","A994_08926","NZ_AMPO01000008.1",17570,17753]
[["A994_08931","gene1793"],"Genes","A994_08931","NZ_AMPO01000008.1",18313,18535]
[["A994_08936","gene1794"],"Genes","A994_08936","NZ_AMPO01000008.1",18745,20197]
[["A994_08941","gene1795"],"Genes","A994_08941","NZ_AMPO01000008.1",20528,20957]
[["A994_08946","gene1796"],"Genes","A994_08946","NZ_AMPO01000008.1",21451,23617]
[["A994_08951","gene1797"],"Genes","A994_08951","NZ_AMPO01000008.1",23879,25229]
[["A994_08956","gene1798"],"Genes","A994_08956","NZ_AMPO01000008.1",25341,25779]
[["A994_08961","gene1799"],"Genes","A994_08961","NZ_AMPO01000008.1",26086,26692]
[["A994_08966","gene1800"],"Genes","A994_08966","NZ_AMPO01000008.1",27030,27519]
[["A994_08971","gene1801"],"Genes","A994_08971","NZ_AMPO01000008.1",27708,28401]
[["A994_08976","gene1802"],"Genes","A994_08976","NZ_AMPO01000008.1",28650,28965]
[["A994_08981","gene1803"],"Genes","A994_08981","NZ_AMPO01000008.1",29297,31166]
[["A994_08986","gene1804"],"Genes","A994_08986","NZ_AMPO01000008.1",31389,32274]
[["A994_08991","gene1805"],"Genes","A994_08991","NZ_AMPO01000008.1",32378,35147]
[["A994_08996","gene1806"],"Genes","A994_08996","NZ_AMPO01000008.1",35341,35926]
[["A994_t09538","gene1807"],"Genes","A994_t09538","NZ_AMPO01000008.1",36271,36345]
[["A994_t09540","gene1808"],"Genes","A994_t09540","NZ_AMPO01000008.1",36792,36875]
[["A994_t09542","gene1809"],"Genes","A994_t09542","NZ_AMPO01000008.1",36964,37038]
[["A994_t09544","gene1810"],"Genes","A994_t09544","NZ_AMPO01000008.1",37183,37266]
[["A994_09001","gene1811"],"Genes","A994_09001","NZ_AMPO01000008.1",37971,38427]
[["A994_09006","gene1812"],"Genes","A994_09006","NZ_AMPO01000008.1",38775,38979]
[["A994_09011","gene1813"],"Genes","A994_09011","NZ_AMPO01000008.1",39213,39927]
[["A994_09016","gene1814"],"Genes","A994_09016","NZ_AMPO01000008.1",39993,40698]
[["A994_09021","gene1815"],"Genes","A994_09021","NZ_AMPO01000008.1",40910,41309]
[["A994_09026","gene1816"],"Genes","A994_09026","NZ_AMPO01000008.1",41491,42169]
[["A994_09031","gene1817"],"Genes","A994_09031","NZ_AMPO01000008.1",42314,43193]
[["A994_09036","gene1818"],"Genes","A994_09036","NZ_AMPO01000008.1",43441,43720]
[["A994_09041","gene1819"],"Genes","A994_09041","NZ_AMPO01000008.1",43909,45133]
[["A994_09046","gene1820"],"Genes","A994_09046","NZ_AMPO01000008.1",45205,46111]
[["A994_09051","gene1821"],"Genes","A994_09051","NZ_AMPO01000008.1",46127,46958]
[["A994_09056","gene1822"],"Genes","A994_09056","NZ_AMPO01000008.1",47281,48355]
[["A994_09061","gene1823"],"Genes","A994_09061","NZ_AMPO01000008.1",48501,48909]
[["A994_09066","gene1824"],"Genes","A994_09066","NZ_AMPO01000008.1",49198,49510]
[["id40"],"Genes","id40","NZ_AMPO01000008.1",49797,50013]
[["id41"],"Genes","id41","NZ_AMPO01000008.1",49797,50013]
[["A994_t09546","gene1825"],"Genes","A994_t09546","NZ_AMPO01000008.1",49804,49880]
[["A994_t09548","gene1826"],"Genes","A994_t09548","NZ_AMPO01000008.1",49916,50000]
[["A994_t09550","gene1827"],"Genes","A994_t09550","NZ_AMPO01000008.1",50057,50132]
[["A994_t09552","gene1828"],"Genes","A994_t09552","NZ_AMPO01000008.1",50190,50264]
[["A994_t09554","gene1829"],"Genes","A994_t09554","NZ_AMPO01000008.1",50269,50342]
[["A994_09076","gene1830"],"Genes","A994_09076","NZ_AMPO01000008.1",50595,51603]
[["gatB","gene1831"],"Genes","gatB","NZ_AMPO01000008.1",51644,53006]
[["A994_09086","gene1832"],"Genes","A994_09086","NZ_AMPO01000008.1",53183,53432]
[["A994_09091","gene1833"],"Genes","A994_09091","NZ_AMPO01000008.1",53428,54232]
[["hisE","gene1834"],"Genes","hisE","NZ_AMPO01000008.1",54228,54516]
[["A994_09101","gene1835"],"Genes","A994_09101","NZ_AMPO01000008.1",54771,55344]
